OBX3 Code,OBX3 Code System
68993-5,LN
86316-7,LN
21612-7,LN
29553-5,LN
35659-2,LN
11368-8,LN
30952-6,LN
VAC103,PHINQUESTION
PRT023,PHINQUESTION
MUM122,PHINQUESTION
MEA039,PHINQUESTION
PRT044,PHINQUESTION
PRT020,PHINQUESTION
PRT021,PHINQUESTION
PLT668,PLT
PLT667,PLT
PLT610,PLT
PLT641,PLT
PLT341,PLT
PLT337,PLT
35275-7,LN
5244-9,LN
35276-5,LN
25421-9,LN
53537-7,LN
48508-6,LN
85798-7,LN
PLT352,PLT
88875-0,LN
88876-8,LN
PLT2037,PLT
60422-3,LN
PLT542,PLT
13921-2,LN
12237-4,LN
25418-5,LN
6476-6,LN
6478-2,LN
85800-1,LN
PLT351,PLT
47532-7,LN
85807-6,LN
PLT539,PLT
40667-8,LN
5334-8,LN
5335-5,LN
54091-4,LN
85796-1,LN
PLT353,PLT
85690-6,LN
PLT543,PLT
PLT313,PLT
5882-6,LN
5403-1,LN
15410-4,LN
5404-9,LN
29662-4,LN
86502-2,LN
PLT360,PLT
11483-5,LN
PLT361,PLT
86509-7,LN
PLT544,PLT
PLT545,PLT
PLT546,PLT
61366-1,LN
85627-8,LN
PLT450,PLT
85678-1,LN
85683-1,LN
85682-3,LN
85681-5,LN
85680-7,LN
85679-9,LN
58473-0,LN
PLT444,PLT
PLT431,PLT
PLT432,PLT
PLT430,PLT
PLT433,PLT
PLT434,PLT
PLT435,PLT
49671-1,LN
85628-6,LN
PLT466,PLT
71788-4,LN
74539-8,LN
74538-0,LN
74537-2,LN
74536-4,LN
74535-6,LN
74534-9,LN
86234-2,LN
86235-9,LN
86236-7,LN
86237-5,LN
86238-3,LN
PLT464,PLT
549-6,LN
48741-3,LN
85684-9,LN
24127-3,LN
23826-1,LN
62427-0,LN
29723-4,LN
45294-6,LN
62428-8,LN
86327-4,LN
86326-6,LN
86325-8,LN
85799-5,LN
PLT451,PLT
PLT356,PLT
PLT355,PLT
PLT354,PLT
PLT547,PLT
38353-9,LN
49672-9,LN
85688-0,LN
PLT452,PLT
PLT612,PLT
86503-0,LN
85496-8,LN
PLT445,PLT
85747-4,LN
85744-1,LN
85743-3,LN
85742-5,LN
85741-7,LN
85740-9,LN
85754-0,LN
85753-2,LN
85748-2,LN
85752-4,LN
85759-9,LN
85758-1,LN
85746-6,LN
85757-3,LN
85751-6,LN
85756-5,LN
85760-7,LN
85745-8,LN
85749-0,LN
85750-8,LN
85755-7,LN
PLT421,PLT
PLT425,PLT
PLT427,PLT
PLT428,PLT
PLT429,PLT
PLT414,PLT
PLT415,PLT
PLT420,PLT
PLT416,PLT
PLT409,PLT
PLT410,PLT
PLT422,PLT
PLT411,PLT
PLT417,PLT
PLT412,PLT
PLT423,PLT
PLT424,PLT
PLT419,PLT
PLT418,PLT
PLT426,PLT
PLT413,PLT
28-1,LN
6932-8,LN
108-1,LN
116-4,LN
141-2,LN
137-0,LN
73627-2,LN
6652-2,LN
20396-8,LN
233-7,LN
61188-9,LN
193-3,LN
173-5,LN
225-3,LN
35788-9,LN
23641-4,LN
29254-0,LN
428-3,LN
516-5,LN
524-9,LN
6463-4,LN
PLT2250,PLT
PLT2258,PLT
PLT2114,PLT
93749-0,LN
PLT2278,PLT
PLT2279,PLT
PLT2280,PLT
PLT2281,PLT
PLT400,PLT
PLT401,PLT
PLT403,PLT
PLT404,PLT
PLT406,PLT
PLT407,PLT
PLT2313,PLT
86198-9,LN
77202-0,LN
41852-5,LN
PLT2785,PLT
